price,quantity,type,timestamp
37036000,0.1944,0,2022-05-25 00:00:00.509966
37027000,0.0174,0,2022-05-25 00:00:00.509966
37026000,0.5163,0,2022-05-25 00:00:00.509966
37022000,0.4698,0,2022-05-25 00:00:00.509966
37017000,0.0312,0,2022-05-25 00:00:00.509966
37040000,0.3094,1,2022-05-25 00:00:00.509966
37042000,0.0003,1,2022-05-25 00:00:00.509966
37044000,0.3853,1,2022-05-25 00:00:00.509966
37045000,0.002,1,2022-05-25 00:00:00.509966
37047000,0.05,1,2022-05-25 00:00:00.509966
37036000,0.1944,0,2022-05-25 00:00:01.563835
37027000,0.0174,0,2022-05-25 00:00:01.563835
37026000,0.5163,0,2022-05-25 00:00:01.563835
37022000,0.4698,0,2022-05-25 00:00:01.563835
37017000,0.0312,0,2022-05-25 00:00:01.563835
37040000,0.3094,1,2022-05-25 00:00:01.563835
37042000,0.0003,1,2022-05-25 00:00:01.563835
37044000,0.3853,1,2022-05-25 00:00:01.563835
37045000,0.002,1,2022-05-25 00:00:01.563835
37047000,0.05,1,2022-05-25 00:00:01.563835
37047000,0.2266,0,2022-05-25 00:00:02.624024
37042000,0.9968,0,2022-05-25 00:00:02.624024
37038000,0.057999999999999996,0,2022-05-25 00:00:02.624024
37037000,0.0487,0,2022-05-25 00:00:02.624024
37036000,0.0782,0,2022-05-25 00:00:02.624024
37060000,0.1339,1,2022-05-25 00:00:02.624024
37062000,0.0844,1,2022-05-25 00:00:02.624024
37064000,0.9895,1,2022-05-25 00:00:02.624024
37069000,0.1343,1,2022-05-25 00:00:02.624024
37071000,0.2473,1,2022-05-25 00:00:02.624024
37027000,0.0174,0,2022-05-25 00:00:03.674254
37026000,0.0522,0,2022-05-25 00:00:03.674254
37024000,0.0307,0,2022-05-25 00:00:03.674254
37023000,0.6,0,2022-05-25 00:00:03.674254
37010000,0.0723,0,2022-05-25 00:00:03.674254
37045000,1.135,1,2022-05-25 00:00:03.674254
37047000,0.1325,1,2022-05-25 00:00:03.674254
37058000,0.2757,1,2022-05-25 00:00:03.674254
37060000,0.6305,1,2022-05-25 00:00:03.674254
37061000,0.1407,1,2022-05-25 00:00:03.674254
37027000,0.0174,0,2022-05-25 00:00:04.722067
37026000,0.0522,0,2022-05-25 00:00:04.722067
37024000,0.0307,0,2022-05-25 00:00:04.722067
37011000,0.5393,0,2022-05-25 00:00:04.722067
37010000,0.0723,0,2022-05-25 00:00:04.722067
37043000,0.0311,1,2022-05-25 00:00:04.722067
37045000,1.135,1,2022-05-25 00:00:04.722067
37047000,0.1498,1,2022-05-25 00:00:04.722067
37058000,0.2757,1,2022-05-25 00:00:04.722067
37060000,0.6305,1,2022-05-25 00:00:04.722067
37027000,0.0174,0,2022-05-25 00:00:05.798326
37024000,0.0307,0,2022-05-25 00:00:05.798326
37011000,0.6,0,2022-05-25 00:00:05.798326
37010000,0.0723,0,2022-05-25 00:00:05.798326
37008000,0.0309,0,2022-05-25 00:00:05.798326
37041000,0.6992,1,2022-05-25 00:00:05.798326
37043000,0.0311,1,2022-05-25 00:00:05.798326
37045000,1.135,1,2022-05-25 00:00:05.798326
37047000,0.1498,1,2022-05-25 00:00:05.798326
37056000,0.6657,1,2022-05-25 00:00:05.798326
36939000,0.2184,0,2022-05-25 00:00:06.855510
36937000,0.4272,0,2022-05-25 00:00:06.855510
36934000,0.5909,0,2022-05-25 00:00:06.855510
36933000,0.1485,0,2022-05-25 00:00:06.855510
36925000,0.039,0,2022-05-25 00:00:06.855510
36956000,0.03,1,2022-05-25 00:00:06.855510
36957000,0.5499,1,2022-05-25 00:00:06.855510
36958000,0.0003,1,2022-05-25 00:00:06.855510
36959000,0.0003,1,2022-05-25 00:00:06.855510
36963000,0.057999999999999996,1,2022-05-25 00:00:06.855510
37027000,0.0174,0,2022-05-25 00:00:08.056605
37024000,0.0307,0,2022-05-25 00:00:08.056605
37016000,0.057999999999999996,0,2022-05-25 00:00:08.056605
37010000,0.0723,0,2022-05-25 00:00:08.056605
37008000,0.0309,0,2022-05-25 00:00:08.056605
37039000,0.537,1,2022-05-25 00:00:08.056605
37040000,0.1402,1,2022-05-25 00:00:08.056605
37041000,0.6992,1,2022-05-25 00:00:08.056605
37043000,0.0311,1,2022-05-25 00:00:08.056605
37045000,1.135,1,2022-05-25 00:00:08.056605
37008000,0.0309,0,2022-05-25 00:00:09.111042
37006000,0.0504,0,2022-05-25 00:00:09.111042
37005000,0.001,0,2022-05-25 00:00:09.111042
37001000,0.083,0,2022-05-25 00:00:09.111042
37000000,0.0012,0,2022-05-25 00:00:09.111042
37023000,0.1071,1,2022-05-25 00:00:09.111042
