price,quantity,type,timestamp
37990000,0.5792,0,2022-05-26 00:00:00.652637
37988000,0.1115,0,2022-05-26 00:00:00.652637
37986000,0.3892,0,2022-05-26 00:00:00.652637
37984000,0.0538,0,2022-05-26 00:00:00.652637
37983000,0.6,0,2022-05-26 00:00:00.652637
38013000,0.38629104,1,2022-05-26 00:00:00.652637
38015000,0.2436,1,2022-05-26 00:00:00.652637
38017000,0.0534,1,2022-05-26 00:00:00.652637
38019000,0.0787,1,2022-05-26 00:00:00.652637
38020000,0.1459,1,2022-05-26 00:00:00.652637
37990000,0.0535,0,2022-05-26 00:00:01.712645
37988000,0.1115,0,2022-05-26 00:00:01.712645
37987000,0.6,0,2022-05-26 00:00:01.712645
37986000,0.3892,0,2022-05-26 00:00:01.712645
37984000,0.0538,0,2022-05-26 00:00:01.712645
38013000,0.38629104,1,2022-05-26 00:00:01.712645
38015000,0.2436,1,2022-05-26 00:00:01.712645
38017000,0.0534,1,2022-05-26 00:00:01.712645
38019000,0.0787,1,2022-05-26 00:00:01.712645
38021000,0.0323,1,2022-05-26 00:00:01.712645
37990000,0.0535,0,2022-05-26 00:00:02.765474
37989000,0.6,0,2022-05-26 00:00:02.765474
37988000,0.1115,0,2022-05-26 00:00:02.765474
37987000,0.5257,0,2022-05-26 00:00:02.765474
37986000,0.3892,0,2022-05-26 00:00:02.765474
38013000,0.38629104,1,2022-05-26 00:00:02.765474
38015000,0.2436,1,2022-05-26 00:00:02.765474
38017000,0.0534,1,2022-05-26 00:00:02.765474
38019000,0.0787,1,2022-05-26 00:00:02.765474
38020000,0.1459,1,2022-05-26 00:00:02.765474
37992000,0.1031,0,2022-05-26 00:00:03.812307
37990000,0.0535,0,2022-05-26 00:00:03.812307
37989000,0.6,0,2022-05-26 00:00:03.812307
37988000,0.1115,0,2022-05-26 00:00:03.812307
37987000,0.5257,0,2022-05-26 00:00:03.812307
38013000,0.37589104,1,2022-05-26 00:00:03.812307
38015000,0.2436,1,2022-05-26 00:00:03.812307
38017000,0.0534,1,2022-05-26 00:00:03.812307
38020000,0.1459,1,2022-05-26 00:00:03.812307
