price,quantity,type,timestamp
38578000,0.0577,0,2022-05-23 03:16:16.306318
38576000,0.1282,0,2022-05-23 03:16:16.306318
38575000,0.0761,0,2022-05-23 03:16:16.306318
38574000,0.0691,0,2022-05-23 03:16:16.306318
38597000,0.1329,1,2022-05-23 03:16:16.306318
38598000,0.4088,1,2022-05-23 03:16:16.306318
38600000,0.0607,1,2022-05-23 03:16:16.306318
38601000,0.1087,1,2022-05-23 03:16:16.306318
38604000,0.0556,1,2022-05-23 03:16:16.306318
38591000,0.1021,0,2022-05-23 03:16:17.347573
38590000,0.1322,0,2022-05-23 03:16:17.347573
38584000,0.0557,0,2022-05-23 03:16:17.347573
38583000,0.0313,0,2022-05-23 03:16:17.347573
38581000,0.3574,0,2022-05-23 03:16:17.347573
38595000,0.0325,1,2022-05-23 03:16:17.347573
38597000,0.0541,1,2022-05-23 03:16:17.347573
38598000,0.4088,1,2022-05-23 03:16:17.347573
38600000,0.0607,1,2022-05-23 03:16:17.347573
38601000,0.1087,1,2022-05-23 03:16:17.347573
38591000,0.1021,0,2022-05-23 03:16:18.394411
38590000,0.1322,0,2022-05-23 03:16:18.394411
38584000,0.0557,0,2022-05-23 03:16:18.394411
38583000,0.0313,0,2022-05-23 03:16:18.394411
38581000,0.3574,0,2022-05-23 03:16:18.394411
38595000,0.0325,1,2022-05-23 03:16:18.394411
38597000,0.0541,1,2022-05-23 03:16:18.394411
38601000,0.1087,1,2022-05-23 03:16:18.394411
38604000,0.0556,1,2022-05-23 03:16:18.394411
38607000,0.1172,1,2022-05-23 03:16:18.394411
38591000,0.1021,0,2022-05-23 03:16:19.439007
38590000,0.1322,0,2022-05-23 03:16:19.439007
38584000,0.0557,0,2022-05-23 03:16:19.439007
38583000,0.0313,0,2022-05-23 03:16:19.439007
38581000,0.3574,0,2022-05-23 03:16:19.439007
38595000,0.0325,1,2022-05-23 03:16:19.439007
38597000,0.0541,1,2022-05-23 03:16:19.439007
38601000,0.1087,1,2022-05-23 03:16:19.439007
38604000,0.0556,1,2022-05-23 03:16:19.439007
38607000,0.1172,1,2022-05-23 03:16:19.439007
38591000,0.1021,0,2022-05-23 03:16:20.485855
38590000,0.1322,0,2022-05-23 03:16:20.485855
38584000,0.0557,0,2022-05-23 03:16:20.485855
38583000,0.0313,0,2022-05-23 03:16:20.485855
38581000,0.3574,0,2022-05-23 03:16:20.485855
38595000,0.0325,1,2022-05-23 03:16:20.485855
38597000,0.0541,1,2022-05-23 03:16:20.485855
38601000,0.1087,1,2022-05-23 03:16:20.485855
38604000,0.0556,1,2022-05-23 03:16:20.485855
38607000,0.1172,1,2022-05-23 03:16:20.485855
38591000,0.1021,0,2022-05-23 03:16:21.530517
38590000,0.1322,0,2022-05-23 03:16:21.530517
38584000,0.0557,0,2022-05-23 03:16:21.530517
38583000,0.0313,0,2022-05-23 03:16:21.530517
38581000,0.3574,0,2022-05-23 03:16:21.530517
38595000,0.0325,1,2022-05-23 03:16:21.530517
38597000,0.0541,1,2022-05-23 03:16:21.530517
38601000,0.1087,1,2022-05-23 03:16:21.530517
38604000,0.0556,1,2022-05-23 03:16:21.530517
38607000,0.1172,1,2022-05-23 03:16:21.530517
38591000,0.1021,0,2022-05-23 03:16:22.577723
38590000,0.1322,0,2022-05-23 03:16:22.577723
38583000,0.0313,0,2022-05-23 03:16:22.577723
38581000,0.3574,0,2022-05-23 03:16:22.577723
38578000,0.0577,0,2022-05-23 03:16:22.577723
38595000,0.0325,1,2022-05-23 03:16:22.577723
38597000,0.0541,1,2022-05-23 03:16:22.577723
38601000,0.1087,1,2022-05-23 03:16:22.577723
38604000,0.0556,1,2022-05-23 03:16:22.577723
38607000,0.1172,1,2022-05-23 03:16:22.577723
38591000,0.1021,0,2022-05-23 03:16:23.622332
38590000,0.1322,0,2022-05-23 03:16:23.622332
38583000,0.0313,0,2022-05-23 03:16:23.622332
38581000,0.3574,0,2022-05-23 03:16:23.622332
38578000,0.0577,0,2022-05-23 03:16:23.622332
38595000,0.0325,1,2022-05-23 03:16:23.622332
38597000,0.0541,1,2022-05-23 03:16:23.622332
38601000,0.1087,1,2022-05-23 03:16:23.622332
38604000,0.0556,1,2022-05-23 03:16:23.622332
38607000,0.1172,1,2022-05-23 03:16:23.622332
